County,"Annual
Establishments","Annual
Average
Employment","Total
Annual
Wages","Annual
Average
Weekly Wage","Annual
Wages per
Employee","Annual
Average
Employment
Location
Quotient","Total
Annual
Wages
Location
Quotient"
"Alameda County, California","73,285","790,358","$77,475,630,674","$1,885","$98,026",1,1
"Alpine County, California",85,975,"47,263,472",932,"48,463",1,1
"Amador County, California","1,348","12,492","731,814,818","1,127","58,581",1,1
"Butte County, California","9,029","78,999","4,544,059,097","1,106","57,521",1,1
"Calaveras County, California","1,514","10,263","593,620,050","1,112","57,838",1,1
"Colusa County, California","1,056","9,354","564,383,154","1,160","60,337",1,1
"Contra Costa County, California","39,474","373,992","32,250,783,208","1,658","86,234",1,1
"Del Norte County, California",845,"8,328","448,338,968","1,035","53,835",1,1
"El Dorado County, California","6,552","58,585","3,879,844,759","1,274","66,226",1,1
"Fresno County, California","44,409","427,076","24,729,486,106","1,114","57,904",1,1
"Glenn County, California","1,327","9,835","531,622,630","1,040","54,056",1,1
"Humboldt County, California","7,685","51,858","2,863,232,565","1,062","55,212",1,1
"Imperial County, California","9,795","67,166","3,669,917,262","1,051","54,639",1,1
"Inyo County, California",863,"7,718","471,109,652","1,174","61,041",1,1
"Kern County, California","27,950","347,664","20,882,699,052","1,155","60,066",1,1
"Kings County, California","5,457","50,796","2,862,391,568","1,084","56,351",1,1
"Lake County, California","3,657","17,522","943,518,665","1,036","53,849",1,1
"Lassen County, California",784,"9,174","546,644,049","1,146","59,583",1,1
"Los Angeles County, California","572,385","4,525,711","378,140,908,586","1,607","83,554",1,1
"Madera County, California","5,638","56,858","3,188,026,096","1,078","56,070",1,1
"Marin County, California","12,900","110,934","10,378,048,459","1,799","93,552",1,1
"Mariposa County, California",643,"6,075","318,404,641","1,008","52,414",1,1
"Mendocino County, California","4,522","32,084","1,729,400,366","1,037","53,903",1,1
"Merced County, California","8,584","84,952","4,668,294,927","1,057","54,952",1,1
"Modoc County, California",426,"2,768","141,072,779",980,"50,973",1,1
"Mono County, California",724,"8,150","427,907,996","1,010","52,503",1,1
"Monterey County, California","15,844","200,244","12,289,973,581","1,180","61,375",1,1
"Napa County, California","6,535","80,265","5,688,067,569","1,363","70,866",1,1
"Nevada County, California","4,494","35,000","2,195,672,531","1,206","62,734",1,1
"Orange County, California","148,394","1,661,276","135,232,345,686","1,565","81,403",1,1
"Placer County, California","15,743","186,942","13,610,073,266","1,400","72,804",1,1
"Plumas County, California","1,004","6,678","399,754,901","1,151","59,864",1,1
"Riverside County, California","86,446","840,433","50,202,249,277","1,149","59,734",1,1
"Sacramento County, California","73,284","726,937","58,245,518,231","1,541","80,125",1,1
"San Benito County, California","1,930","18,032","1,082,136,880","1,154","60,013",1,1
"San Bernardino County, California","77,170","845,908","52,757,761,723","1,199","62,368",1,1
"San Diego County, California","133,031","1,536,541","127,309,240,480","1,593","82,854",1,1
"San Francisco County, California","66,657","707,646","123,203,197,067","3,348","174,103",1,1
"San Joaquin County, California","22,110","287,828","18,219,442,197","1,217","63,300",1,1
"San Luis Obispo County, California","11,662","121,958","7,480,161,833","1,179","61,334",1,1
"San Mateo County, California","31,186","416,422","81,802,394,007","3,778","196,441",1,1
"Santa Barbara County, California","17,497","216,323","15,069,956,439","1,340","69,664",1,1
"Santa Clara County, California","83,418","1,116,581","220,014,308,093","3,789","197,043",1,1
"Santa Cruz County, California","10,171","104,514","7,067,467,213","1,300","67,622",1,1
"Shasta County, California","8,748","70,090","4,159,981,722","1,141","59,352",1,1
"Sierra County, California",135,611,"30,853,870",972,"50,525",1,1
"Siskiyou County, California","1,836","14,205","763,109,256","1,033","53,720",1,1
"Solano County, California","13,772","143,366","10,236,726,211","1,373","71,403",1,1
"Sonoma County, California","21,652","206,849","14,773,528,488","1,373","71,422",1,1
"Stanislaus County, California","17,952","199,396","12,720,389,359","1,227","63,795",1,1
"Sutter County, California","4,205","32,774","1,808,273,309","1,061","55,174",1,1
"Tehama County, California","2,295","19,740","1,128,029,195","1,099","57,144",1,1
"Trinity County, California",450,"2,918","163,820,348","1,080","56,151",1,1
"Tulare County, California","14,758","177,657","9,422,570,937","1,020","53,038",1,1
"Tuolumne County, California","1,890","18,221","1,070,023,912","1,129","58,725",1,1
"Ventura County, California","31,435","336,272","23,702,861,713","1,356","70,487",1,1
"Yolo County, California","8,004","110,302","8,455,607,358","1,474","76,659",1,1
"Yuba County, California","2,146","21,061","1,409,608,295","1,287","66,931",1,1
"Unknown Or Undefined, California","73,262","561,022","76,788,580,745","2,632","136,873",1,1
