county_i_name,county_j_name,L_ij_eq,L_ij_cf,U_ij_eq,U_ij_cf,pi_ij_cond_eq,pi_ij_cond_cf,pi_ij_joint_eq,pi_ij_joint_cf,diff_U_ij,diff_pi_ij_joint,diff_pi_ij_cond,diff_L_ij
Los Angeles,Los Angeles,3656.523059780139,2548.2459737470067,0.2650449843100784,0.2450449843100784,0.7710476460326646,0.7710476460326646,0.35776820384666563,0.35776820384666563,-0.01999999999999999,0.0,0.0,-1108.2770860331325
Orange,Los Angeles,257.44282756609516,175.78587912939562,-2.388425340316043,-2.388425340316043,0.16635520268895856,0.16635520268895856,0.02518919107187764,0.02518919107187764,0.0,0.0,0.0,-81.65694843669954
Riverside,Los Angeles,12.826174632747515,10.551067542324033,-5.387735030737401,-5.387735030737401,0.012622125354270378,0.012622125354270378,0.0012549619913671906,0.0012549619913671906,0.0,0.0,0.0,-2.2751070904234822
San Bernardino,Los Angeles,48.87120550518769,37.53938507844111,-4.050034628329101,-4.050034628329101,0.053740999957320214,0.053740999957320214,0.004781745698730415,0.004781745698730415,0.0,0.0,0.0,-11.331820426746582
San Diego,Los Angeles,0.9787650898891552,0.7357921333417135,-7.960686621182945,-7.960686621182945,0.0006058803002576725,0.0006058803002576725,9.576612056660128e-05,9.576612056660128e-05,0.0,0.0,0.0,-0.24297295654744178
Ventura,Los Angeles,11.163359901154895,7.807044869460521,-5.526586028844747,-5.526586028844747,0.028657212721294668,0.028657212721294668,0.0010922658370901167,0.0010922658370901167,0.0,0.0,0.0,-3.3563150316943737
Los Angeles,Orange,746.8841166969073,520.5066157419291,-1.3233129653967532,-1.3433129653967533,0.15749476500579304,0.15749476500579304,0.07307799911107983,0.07307799911107983,-0.020000000000000018,0.0,0.0,-226.37750095497825
Orange,Orange,1153.402874128322,787.5610291258349,-0.8887511338452971,-0.8887511338452971,0.7453094371346705,0.7453094371346705,0.11285334943663204,0.11285334943663204,0.0,0.0,0.0,-365.84184500248716
Riverside,Orange,90.89657757194253,74.7733409834465,-3.429500656897286,-3.429500656897286,0.08945052045821503,0.08945052045821503,0.00889366886576624,0.00889366886576624,0.0,0.0,0.0,-16.123236588496027
San Bernardino,Orange,103.13999914882797,79.22481356894188,-3.303135726528018,-3.303135726528018,0.11341743328322025,0.11341743328322025,0.010091612068882047,0.010091612068882047,0.0,0.0,0.0,-23.915185579886085
San Diego,Orange,12.695408196889844,9.543844153545914,-5.3979826381120315,-5.3979826381120315,0.007858778178425264,0.007858778178425264,0.001242167303048436,0.001242167303048436,0.0,0.0,0.0,-3.15156404334393
Ventura,Orange,0.9971315201363512,0.6973393841447786,-7.9420956087346735,-7.9420956087346735,0.002559714130572744,0.002559714130572744,9.756316236100183e-05,9.756316236100183e-05,0.0,0.0,0.0,-0.2997921359915726
Los Angeles,Riverside,19.902150070654397,13.869890318564877,-4.9483952372526225,-4.968395237252622,0.004196748034152861,0.004196748034152861,0.0019473024966764326,0.0019473024966764326,-0.019999999999999574,0.0,0.0,-6.032259752089519
Orange,Riverside,48.615857736830705,33.1956472537746,-4.055273238331797,-4.055273238331797,0.03141474534042586,0.03141474534042586,0.004756761496266004,0.004756761496266004,0.0,0.0,0.0,-15.420210483056103
Riverside,Riverside,624.6696467549325,513.8657334138553,-1.5020000620937735,-1.5020000620937735,0.6147318910049465,0.6147318910049465,0.061120067852240154,0.061120067852240154,0.0,0.0,0.0,-110.80391334107719
San Bernardino,Riverside,200.34694722501027,153.89227917390812,-2.639172407142007,-2.639172407142007,0.22031061380562036,0.22031061380562036,0.019602711724499403,0.019602711724499403,0.0,0.0,0.0,-46.454668051102146
San Diego,Riverside,19.244927125118966,14.46748165793361,-4.981975506861364,-4.981975506861364,0.011913095742232297,0.011913095742232297,0.0018829972895419882,0.0018829972895419882,0.0,0.0,0.0,-4.777445467185357
Ventura,Riverside,0.021406078945325757,0.014970243751442902,-11.783303341325102,-11.783303341325102,5.4951068790818476e-05,5.4951068790818476e-05,2.0944526509097396e-06,2.0944526509097396e-06,0.0,0.0,0.0,-0.006435835193882855
Los Angeles,San Bernardino,98.10418621163097,68.36921125188992,-3.3531929683359487,-3.3731929683359487,0.020687139287172047,0.020687139287172047,0.009598888867087974,0.009598888867087974,-0.020000000000000018,0.0,0.0,-29.734974959741052
Orange,San Bernardino,71.36564317013764,48.72954683919718,-3.671406441454156,-3.671406441454156,0.04611527206578767,0.04611527206578767,0.006982687530179939,0.006982687530179939,0.0,0.0,0.0,-22.636096330940468
Riverside,San Bernardino,259.18768875544123,213.2129717940472,-2.3816705406336345,-2.3816705406336345,0.25506431897489307,0.25506431897489307,0.02535991496544214,0.02535991496544214,0.0,0.0,0.0,-45.97471696139402
San Bernardino,San Bernardino,553.3678553355253,425.0578392068988,-1.6232000270012974,-1.6232000270012974,0.6085084577423017,0.6085084577423017,0.05414362782161047,0.05414362782161047,0.0,0.0,0.0,-128.3100161286265
San Diego,San Bernardino,2.1264043335872875,1.5985363568028812,-7.184790559930958,-7.184790559930958,0.0013162979650704404,0.0013162979650704404,0.000208055534353729,0.000208055534353729,0.0,0.0,0.0,-0.5278679767844063
Ventura,San Bernardino,0.12705785031782285,0.08885732854907068,-10.002335788823373,-10.002335788823373,0.00032616737941876955,0.00032616737941876955,1.2431826122698963e-05,1.2431826122698963e-05,0.0,0.0,0.0,-0.038200521768752174
Los Angeles,San Diego,2.234564356230226,1.5572770992410014,-7.135176716744519,-7.155176716744519,0.00047120052536559447,0.00047120052536559447,0.00021863832472489278,0.00021863832472489278,-0.019999999999999574,0.0,0.0,-0.6772872569892245
Orange,San Diego,9.990532537585906,6.821687602228849,-5.637585108592895,-5.637585108592895,0.006455713219798473,0.006455713219798473,0.0009775119213000917,0.0009775119213000917,0.0,0.0,0.0,-3.1688449353570576
Riverside,San Diego,28.315733691497464,23.2930883325617,-4.595805395907717,-4.595805395907717,0.027865263836319522,0.027865263836319522,0.0027705197034957776,0.0027705197034957776,0.0,0.0,0.0,-5.022645358935762
San Bernardino,San Diego,2.4183867639623955,1.8576327525080716,-7.056122315485684,-7.056122315485684,0.00265936806009606,0.00265936806009606,0.0002366242122923736,0.0002366242122923736,0.0,0.0,0.0,-0.5607540114543239
San Diego,San Diego,1580.3634548209748,1188.0470706302924,-0.5738128726343342,-0.5738128726343342,0.9782848759262783,0.9782848759262783,0.1546288059482954,0.1546288059482954,0.0,0.0,0.0,-392.31638419068236
Ventura,San Diego,0.003968193279608659,0.0027751378849114688,-13.468667388065231,-13.468667388065231,1.0186660641586298e-05,1.0186660641586298e-05,3.8826321041917893e-07,3.8826321041917893e-07,0.0,0.0,0.0,-0.0011930553946971905
Los Angeles,Ventura,218.6309228844384,152.36479023063006,-2.5518379824024255,-2.5718379824024256,0.04610250111485182,0.04610250111485182,0.02139168584661068,0.02139168584661068,-0.020000000000000018,0.0,0.0,-66.26613265380834
Orange,Ventura,6.731264861028093,4.59621004956856,-6.032459937211641,-6.032459937211641,0.004349629550358724,0.004349629550358724,0.0006586127038102139,0.0006586127038102139,0.0,0.0,0.0,-2.1350548114595327
Riverside,Ventura,0.2701785934388229,0.22225430960411602,-9.24789508836756,-9.24789508836756,0.00026588037135549,0.00026588037135549,2.643530712431445e-05,2.643530712431445e-05,0.0,0.0,0.0,-0.04792428383470687
San Bernardino,Ventura,1.239606021486392,0.9521772034289683,-7.724429402374202,-7.724429402374202,0.0013631271514414065,0.0013631271514414065,0.00012128779513600645,0.00012128779513600645,0.0,0.0,0.0,-0.2874288180574237
San Diego,Ventura,0.03404043354007694,0.025590086398735938,-11.319429246061336,-11.319429246061336,2.107188773610517e-05,2.107188773610517e-05,3.3306462359702377e-06,3.3306462359702377e-06,0.0,0.0,0.0,-0.008450347141341005
Ventura,Ventura,377.235076456166,263.81763145726194,-2.006354468797058,-2.006354468797058,0.9683917680392814,0.9683917680392814,0.036910122957024886,0.036910122957024886,0.0,0.0,0.0,-113.41744499890405
