county_i,county_j,county_i_name,county_j_name,L_ij_data
0,0,Los Angeles,Los Angeles,4429523
1,0,Orange,Los Angeles,180250
2,0,Riverside,Los Angeles,53172
3,0,San Bernardino,Los Angeles,132992
4,0,San Diego,Los Angeles,6075
5,0,Ventura,Los Angeles,66180
0,1,Los Angeles,Orange,196169
1,1,Orange,Orange,1325458
2,1,Riverside,Orange,75863
3,1,San Bernardino,Orange,37327
4,1,San Diego,Orange,12120
5,1,Ventura,Orange,576
0,2,Los Angeles,Riverside,16786
1,2,Orange,Riverside,16208
2,2,Riverside,Riverside,725518
3,2,San Bernardino,Riverside,78508
4,2,San Diego,Riverside,6989
5,2,Ventura,Riverside,177
0,3,Los Angeles,San Bernardino,60779
1,3,Orange,San Bernardino,12934
2,3,Riverside,San Bernardino,113716
3,3,San Bernardino,San Bernardino,657249
4,3,San Diego,San Bernardino,1209
5,3,Ventura,San Bernardino,586
0,4,Los Angeles,San Diego,4724
1,4,Orange,San Diego,12094
2,4,Riverside,San Diego,47073
3,4,San Bernardino,San Diego,2796
4,4,San Diego,San Diego,1588755
5,4,Ventura,San Diego,333
0,5,Los Angeles,Ventura,34298
1,5,Orange,Ventura,605
2,5,Riverside,Ventura,824
3,5,San Bernardino,Ventura,512
4,5,San Diego,Ventura,295
5,5,Ventura,Ventura,321696
